Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 4;   ;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
end of section;

SnapShot at t;  5.103944;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 1;   0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 2;   0,1,8,9,10,11,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,12,13,14,15,16,17,18,;
Pieces of vehicle 3;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 4;   20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,0,1,12,13,14,15,16,17,18,19,;
Pieces of vehicle 5;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 6;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
Pieces of vehicle 7;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 8;   0,1,2,3,4,5,6,7,8,9,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,;
Pieces of vehicle 9;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,;
end of section;

SnapShot at t;  3.000000;
Pieces of vehicle 0;   0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,;
